,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
104,CBS,Mon Apr 09 01:42:06 +0000 2018,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,0.647,0.28,0.0,0.72,6
105,CBS,Sun Apr 08 22:00:01 +0000 2018,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN,0.71,0.258,0.0,0.742,7
106,CBS,Sun Apr 08 18:38:13 +0000 2018,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ,0.556,0.146,0.0,0.854,8
107,CBS,Sun Apr 08 15:00:00 +0000 2018,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme",0.42,0.108,0.0,0.892,9
108,CBS,Sat Apr 07 19:35:08 +0000 2018,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k,0.67,0.183,0.0,0.817,10
109,CBS,Sat Apr 07 18:28:03 +0000 2018,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H,0.0,0.0,0.0,1.0,11
110,CBS,Sat Apr 07 16:30:02 +0000 2018,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn,0.361,0.106,0.0,0.894,12
111,CBS,Sat Apr 07 15:31:12 +0000 2018,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7",0.0,0.0,0.0,1.0,13
112,CBS,Fri Apr 06 21:10:18 +0000 2018,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX,0.0,0.0,0.0,1.0,14
113,CBS,Fri Apr 06 17:00:00 +0000 2018,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e,0.0,0.0,0.0,1.0,15
114,CBS,Fri Apr 06 13:45:00 +0000 2018,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM,0.0,0.0,0.0,1.0,16
115,CBS,Thu Apr 05 21:44:00 +0000 2018,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa,0.586,0.194,0.0,0.806,17
116,CBS,Thu Apr 05 19:07:48 +0000 2018,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh",0.66,0.241,0.0,0.759,18
117,CBS,Thu Apr 05 17:00:00 +0000 2018,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3",-0.388,0.074,0.157,0.769,19
118,CBS,Wed Apr 04 22:07:01 +0000 2018,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ,0.807,0.313,0.0,0.687,20
119,CBS,Wed Apr 04 21:48:07 +0000 2018,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! ?

Introducing Laughing To Pieces! Foll…",0.757,0.288,0.0,0.712,21
120,CBS,Mon Apr 09 17:29:47 +0000 2018,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa",0.0,0.0,0.0,1.0,22
121,CBS,Mon Apr 09 17:00:02 +0000 2018,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ",0.0,0.0,0.0,1.0,23
122,CBS,Mon Apr 09 15:00:00 +0000 2018,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu,0.273,0.129,0.086,0.784,24
123,CBS,Mon Apr 09 13:36:00 +0000 2018,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb,0.624,0.214,0.0,0.786,25
124,CBS,Mon Apr 09 01:42:06 +0000 2018,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,0.647,0.28,0.0,0.72,26
125,CBS,Sun Apr 08 22:00:01 +0000 2018,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN,0.71,0.258,0.0,0.742,27
126,CBS,Sun Apr 08 18:38:13 +0000 2018,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ,0.556,0.146,0.0,0.854,28
127,CBS,Sun Apr 08 15:00:00 +0000 2018,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme",0.42,0.108,0.0,0.892,29
